threshold_scale,active_threshold,window_size,min_votes,accuracy,precision,recall,f1
0.8,0.0001699193089734763,1,1,0.869925,0.8359137343927355,0.92055,0.876192742415229
0.8,0.0001699193089734763,3,1,0.575075,0.5412420688329167,0.98525,0.698672150619604
0.8,0.0001699193089734763,3,2,0.6814,0.6574106213120444,0.7576,0.7039583720498048
0.8,0.0001699193089734763,3,3,0.6106,0.8341389728096676,0.2761,0.41487603305785126
0.8,0.0001699193089734763,5,1,0.514025,0.5071343184881858,0.99695,0.6722861911425055
0.8,0.0001699193089734763,5,2,0.573375,0.5421489502254646,0.9438,0.68869146432676
0.8,0.0001699193089734763,5,3,0.6356,0.6142760829260071,0.7289,0.6666971554010793
0.8,0.0001699193089734763,5,4,0.61335,0.7198409619860356,0.37115,0.48977302718395355
0.8,0.0001699193089734763,5,5,0.532325,0.8323907455012853,0.08095,0.14755069491911596
0.8,0.0001699193089734763,7,1,0.5033,0.5016562107904642,0.99955,0.6680367585630743
0.8,0.0001699193089734763,7,2,0.522375,0.5115767688526711,0.98875,0.6742818174068707
0.8,0.0001699193089734763,7,3,0.57075,0.5416887631842555,0.9193,0.6816951540543547
0.8,0.0001699193089734763,7,4,0.612425,0.592223452688569,0.72195,0.6506838511975845
0.8,0.0001699193089734763,7,5,0.604475,0.6650604313136899,0.42095,0.5155699807097585
0.8,0.0001699193089734763,7,6,0.5502,0.7453567937438905,0.1525,0.253196081686867
0.8,0.0001699193089734763,7,7,0.5095,0.8220338983050848,0.02425,0.04711024769305488
0.85,0.00018053926578431856,1,1,0.873075,0.8425692116982691,0.9176,0.8784854359637155
0.85,0.00018053926578431856,3,1,0.577875,0.5429501144417175,0.98445,0.6998915806124807
0.85,0.00018053926578431856,3,2,0.68375,0.6618514929974456,0.7514,0.703788694796984
0.85,0.00018053926578431856,3,3,0.60905,0.842171320991528,0.2684,0.4070675665428073
0.85,0.00018053926578431856,5,1,0.515,0.5076401976264453,0.99665,0.6726622346708062
0.85,0.00018053926578431856,5,2,0.576575,0.5443026989499262,0.9408,0.6896223130348733
0.85,0.00018053926578431856,5,3,0.637675,0.618018944751618,0.72095,0.665528143823129
0.85,0.00018053926578431856,5,4,0.61265,0.7272543877345169,0.3605,0.48204853914555057
0.85,0.00018053926578431856,5,5,0.530775,0.8376302797586396,0.07635,0.13994409567887092
0.85,0.00018053926578431856,7,1,0.50355,0.5017823969473314,0.9994,0.6681151184945014
0.85,0.00018053926578431856,7,2,0.52405,0.5124792444997924,0.98765,0.6748086908991527
0.85,0.00018053926578431856,7,3,0.5737,0.5438247011952191,0.91455,0.6820673453406422
0.85,0.00018053926578431856,7,4,0.61455,0.5958978652155714,0.7118,0.648712690817954
0.85,0.00018053926578431856,7,5,0.60425,0.6715202369200395,0.40815,0.5077124020400547
0.85,0.00018053926578431856,7,6,0.548325,0.7499353504008275,0.145,0.24301336573511542
0.85,0.00018053926578431856,7,7,0.50865,0.8227611940298507,0.02205,0.042948967666536816
0.9,0.00019115922259516083,1,1,0.87435,0.8483946021405305,0.9116,0.8788623764762593
0.9,0.00019115922259516083,3,1,0.580325,0.5445346935381032,0.98215,0.7006224029390259
0.9,0.00019115922259516083,3,2,0.68485,0.6659186787541513,0.7419,0.701858947069675
0.9,0.00019115922259516083,3,3,0.605625,0.8454619787408013,0.2585,0.3959410300593529
0.9,0.00019115922259516083,5,1,0.516375,0.5083565104233114,0.99615,0.6731766653714247
0.9,0.00019115922259516083,5,2,0.579325,0.546306295788214,0.93585,0.6898877646928734
0.9,0.00019115922259516083,5,3,0.639,0.621961919803457,0.70885,0.6625695190914614
0.9,0.00019115922259516083,5,4,0.60975,0.7312473662031184,0.34705,0.4707039197070392
0.9,0.00019115922259516083,5,5,0.5292,0.8415204678362573,0.07195,0.1325656379548595
0.9,0.00019115922259516083,7,1,0.504025,0.502022155793916,0.99925,0.6682940694544299
