mse,gercek,tahmin,esik_farki
4.3073774e-06,1,0,-0.00020809176
4.4951953e-06,1,0,-0.00020790396
4.670929e-06,1,0,-0.00020772821
4.7591734e-06,1,0,-0.00020763997
4.841079e-06,1,0,-0.00020755807
4.8445077e-06,1,0,-0.00020755464
4.871031e-06,1,0,-0.00020752811
4.897492e-06,1,0,-0.00020750165
4.897712e-06,1,0,-0.00020750143
4.899562e-06,1,0,-0.00020749959
4.9041337e-06,1,0,-0.000207495
4.9087434e-06,1,0,-0.0002074904
4.91042e-06,1,0,-0.00020748872
4.9194623e-06,1,0,-0.00020747968
4.9203195e-06,1,0,-0.00020747882
4.9220516e-06,1,0,-0.00020747709
4.9224745e-06,1,0,-0.00020747667
4.9288556e-06,1,0,-0.0002074703
4.9301893e-06,1,0,-0.00020746895
4.933832e-06,1,0,-0.00020746532
4.934188e-06,1,0,-0.00020746495
4.938051e-06,1,0,-0.0002074611
4.9399105e-06,1,0,-0.00020745923
4.9435735e-06,1,0,-0.00020745557
4.9439805e-06,1,0,-0.00020745516
4.9440578e-06,1,0,-0.00020745509
4.9459204e-06,1,0,-0.00020745322
4.9465766e-06,1,0,-0.00020745257
4.9468663e-06,1,0,-0.00020745228
4.951289e-06,1,0,-0.00020744785
